project_name;City;Year;Jan_KwH;Feb_KwH;Mar_KwH;Apr__KwH;may__KwH;Jun_KwH;Jul_KwH;Aug_KwH;Sep_KwH;Oct_KwH;Nov_KwH;Dec_KwH;Year_total_KwH
Berg studentby;TRONDHEIM;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4209.0;147152.1;0.0;0.0;151361.1
Berg studentby;TRONDHEIM;2021;238929.9;218249.7;186512.4;165721.5;137574.6;90468.9;73386.9;103183.5;130259.7;157371.3;193640.4;203353.8;1898652.6
Berg studentby;TRONDHEIM;2022;210424.5;194072.7;181611.3;148544.1;132957.6;85850.1;78830.7;97279.5;123700.8;152340.8;180327.9;219665.4;1805605.4
Berg studentby;TRONDHEIM;2023;212415.9;187706.1;203155.5;146814.9;140825.7;96389.7;75906.6;99417.6;127627.8;181103.4;221855.1;224905.5;1918123.8
Berg studentby;TRONDHEIM;2024;235039.5;202365.0;169488.6;161728.5;117403.2;83168.7;71379.9;99116.7;124842.3;163822.2;195134.1;191501.7;1814990.4
Berg studentby;TRONDHEIM;2025;225227.1;192687.9;191392.5;147246.6;141666.9;91004.4;68586.6;47351.7;0.0;0.0;0.0;0.0;1105163.7
Berghusveien 12;GJØVIK;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;129.89;521.13;0.0;0.0;651.03
Berghusveien 12;GJØVIK;2021;10445.6;9313.7;7125.71;5618.7;4528.52;1748.78;1421.23;2143.9;3398.4500000000003;5554.69;7296.37;9045.38;67641.0
Berghusveien 12;GJØVIK;2022;8131.28;6985.57;6350.799999999999;4737.18;3377.8199999999997;1945.06;1441.05;1604.85;3467.94;5573.29;6621.21;8876.380000000001;59112.39
Berghusveien 12;GJØVIK;2023;8722.56;7301.58;7243.31;6150.26;4387.9400000000005;1238.69;845.78;1721.0900000000001;2434.09;5075.27;7297.26;8172.949999999999;60590.78
Berghusveien 12;GJØVIK;2024;9476.25;7893.67;6373.85;4688.25;2648.73;1978.12;1450.2;1998.25;2778.7;3905.38;5932.79;6813.09;55937.28
Berghusveien 12;GJØVIK;2025;8181.23;7437.3;5589.4;3247.32;2377.93;1561.96;1170.77;687.88;0.0;0.0;0.0;0.0;30253.79
Bloksberg studentby;TRONDHEIM;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;801.6;22902.9;0.0;0.0;23704.5
Bloksberg studentby;TRONDHEIM;2021;26986.0;26494.9;27349.7;30447.1;25301.0;18812.7;15887.0;20912.3;23294.4;24284.1;24009.6;30491.6;294270.4
Bloksberg studentby;TRONDHEIM;2022;31021.1;29852.7;32016.7;28166.3;31251.0;24127.67;14777.04;19083.31;21478.8;22075.92;21044.1;26747.1;301641.73
Bloksberg studentby;TRONDHEIM;2023;30492.7;29054.2;30985.9;27376.2;29163.3;24205.3;22116.4;26471.12;27896.17;30185.4;29851.9;26800.2;334598.79
Bloksberg studentby;TRONDHEIM;2024;28553.0;27949.6;27515.2;28586.8;29464.9;23594.3;21783.6;27277.7;29077.5;29433.6;29172.0;25787.3;328195.5
Bloksberg studentby;TRONDHEIM;2025;29147.7;28257.3;31633.1;27406.2;30554.3;25700.7;24531.0;14618.29;0.0;0.0;0.0;0.0;211848.59
Bøgata studenby;ÅLESUND;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;524.08;1690.4;0.0;0.0;2214.48
Bøgata studenby;ÅLESUND;2021;19401.92;19914.55;20314.33;18836.31;13549.59;7533.07;5775.81;9573.32;13614.6;15777.39;20042.63;18835.53;183169.05
Bøgata studenby;ÅLESUND;2022;19811.63;23361.13;20595.52;17495.17;16049.3;8667.74;5303.65;8451.22;12360.93;15788.75;17170.76;20023.52;185079.33
Bøgata studenby;ÅLESUND;2023;21991.34;21548.19;26393.39;17771.3;17303.8;10245.7;7127.14;10859.88;13398.3;16902.59;21167.23;21334.57;206043.42
Bøgata studenby;ÅLESUND;2024;22616.02;21411.55;18925.96;17449.48;11809.93;7379.94;6024.51;9676.78;13340.65;17950.76;21854.4;20326.4;188766.38
Bøgata studenby;ÅLESUND;2025;25352.44;21576.64;20793.38;14771.7;14156.68;7637.14;3275.95;1320.32;0.0;0.0;0.0;0.0;108884.25
Elgsetergate 23B;TRONDHEIM;2021;0.0;0.0;2134.6;11327.73;8442.460000000001;5119.38;4555.52;5857.4;8229.83;11658.28;17755.92;19374.47;94455.5
Elgsetergate 23B;TRONDHEIM;2022;19634.2;18140.71;16836.75;13737.65;11633.85;6628.41;5387.25;7216.92;9456.16;14272.58;17272.26;23549.2;163765.84
Elgsetergate 23B;TRONDHEIM;2023;20879.67;18551.6;20771.62;13345.86;11361.93;6777.320000000001;4766.16;6755.45;8674.92;15378.43;22208.52;22302.9;171774.35
Elgsetergate 23B;TRONDHEIM;2024;21463.09;19348.440000000002;15418.97;13625.44;8189.41;5670.96;4380.13;6832.56;9192.95;13403.710000000001;16891.28;17124.75;151541.6
Elgsetergate 23B;TRONDHEIM;2025;20349.82;17182.57;15488.23;10533.46;9566.74;5888.1;3873.0099999999998;1532.35;0.0;0.0;0.0;0.0;84414.23
Festningsgata 11;TRONDHEIM;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;717.27;717.27
Festningsgata 11;TRONDHEIM;2023;2328.34;2611.96;3681.5;2272.17;1548.3400000000001;881.22;726.25;776.71;1023.0099999999999;2838.44;4464.57;23945.15;47097.65
Festningsgata 11;TRONDHEIM;2024;22787.39;22247.030000000002;21212.07;17265.4;7696.879999999999;4072.0;3774.9;4235.09;4335.87;8980.06;11310.01;12199.119999999999;140115.81
Festningsgata 11;TRONDHEIM;2025;14799.869999999999;13422.609999999999;13597.76;12182.23;11864.23;10390.720000000001;10355.81;5663.07;0.0;0.0;0.0;0.0;92276.25
